,Range,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
early morning,12AM-06AM,0.017034722222222225,0.20930888888888888,0.0,0.0241175,0.0722975,0.09417083333333333,0.19973999999999997
morning,06AM-10AM,12.80722138888889,11.096721944444445,10.643578055555556,10.509560277777778,10.28808138888889,1.8799794444444446,1.3291288888888888
midday,10AM-01PM,7.013743611111111,0.45905555555555555,3.670383611111111,5.378766944444445,5.3064647222222225,5.273129166666666,5.052709722222223
afternoon,01PM-04PM,21.185133888888892,14.042198611111111,16.246406666666665,15.79478861111111,20.474145833333335,9.311332499999999,16.670605833333333
evening,04PM-07PM,10.434719166666667,10.207762222222222,14.37537611111111,9.598515555555556,10.426149444444443,7.25298861111111,11.365964444444446
night,07PM-10PM,7.126436666666666,4.629163611111111,8.656527500000001,7.140730555555556,4.492881944444445,3.4538769444444446,7.507264722222222
late night,10PM-12PM,0.2051763888888889,0.15132055555555554,1.064564722222222,0.45199222222222224,0.9207311111111112,0.7643580555555556,1.9746105555555558
